year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Saarland,Brandenburg,47,54,101,4,2,6,51,56,107
2000,Saarland,Mecklenburg-Vorpommern,23,19,42,29,17,46,52,36,88
2000,Saarland,Sachsen,61,54,115,26,7,33,87,61,148
2000,Saarland,Sachsen-Anhalt,44,32,76,6,2,8,50,34,84
2000,Saarland,Thueringen,48,36,84,5,5,10,53,41,94
2000,Saarland,Insgesamt,5096,4882,9978,1066,869,1935,6162,5751,11913
2000,Berlin,Schleswig-Holstein,1242,1178,2420,70,67,137,1312,1245,2557
2000,Berlin,Hamburg,887,848,1735,191,131,322,1078,979,2057
2000,Berlin,Niedersachsen,2380,2418,4798,332,267,599,2712,2685,5397
2000,Berlin,Bremen,221,228,449,36,30,66,257,258,515
2000,Berlin,Nordrhein-Westfalen,3134,2983,6117,775,617,1392,3909,3600,7509
2000,Berlin,Hessen,1571,1448,3019,339,248,587,1910,1696,3606
2000,Berlin,Rheinland-Pfalz,651,598,1249,134,103,237,785,701,1486
2000,Berlin,Baden-Wuerttemberg,2444,2272,4716,521,414,935,2965,2686,5651
2000,Berlin,Bayern,3087,2771,5858,691,525,1216,3778,3296,7074
2000,Berlin,Saarland,111,110,221,24,19,43,135,129,264
2000,Berlin,Berlin,0,0,0,0,0,0,0,0,0
2000,Berlin,Brandenburg,18659,18858,37517,696,499,1195,19355,19357,38712
2000,Berlin,Mecklenburg-Vorpommern,1161,1185,2346,152,97,249,1313,1282,2595
2000,Berlin,Sachsen,1154,1080,2234,174,110,284,1328,1190,2518
2000,Berlin,Sachsen-Anhalt,679,645,1324,113,63,176,792,708,1500
2000,Berlin,Thueringen,457,447,904,48,35,83,505,482,987
2000,Berlin,Insgesamt,37838,37069,74907,4296,3225,7521,42134,40294,82428
2000,Brandenburg,Schleswig-Holstein,705,755,1460,27,15,42,732,770,1502
2000,Brandenburg,Hamburg,493,568,1061,39,26,65,532,594,1126
2000,Brandenburg,Niedersachsen,2087,2252,4339,104,82,186,2191,2334,4525
2000,Brandenburg,Bremen,131,153,284,23,14,37,154,167,321
2000,Brandenburg,Nordrhein-Westfalen,2490,2527,5017,189,131,320,2679,2658,5337
2000,Brandenburg,Hessen,867,881,1748,84,51,135,951,932,1883
